year,provid,province,provchn,prov_governor,prov_secretary,citychn,pref_code,UPref_code,cityid,citychn2,cityname,position,leadername,leadereng,missingtype,link,starty,startm,endy,endm,promotion,promotion_weak,promotion_inprov,newposition,newplace,newtype,birthyear,birthmonth,age,year_joinccp,partyyear,jiguan,ethnic,minority,gender,male,edu_doc,edu_mba,edu_visit,edu_visitdetail,edu_recent,edu_recentcode,edu_recentdetail,edu_high,edu_highcode,edu_highdetail,edu_first,edu_firstcode,edu_firstdetail,zhongqingban,zhongqingban_detail,mishu,mishu_detail,expsec_provcore,expsec_provlowcore,expsec_provnocore,expsec_citycore,expsec_citylowcore,expsec_citynocore,expsec_detail,cenwork,exp_cenwork,strictcenwork,provwork,exp_provwork,strictprovwork,cyl_cityabove,expcyl_cityabove,cyl_city,cyl_prov,cyl_cen,gov_birthtown,gov_birthtown_record,gov_birthcity,gov_birthcity_record,gov_birthprov,gov_birthprov_record,gov_school,gov_school_record,gov_work1,gov_work1_record,gov_strictwork1,gov_work2,gov_work2_record,gov_strictwork2,sec_birthtown,sec_birthtown_record,sec_birthcity,sec_birthcity_record,sec_birthprov,sec_birthprov_record,sec_school,sec_school_record,sec_work1,sec_work1_record,sec_strictwork1,sec_work2,sec_work2_record,sec_strictwork2,tenure,stricttenure,LastWork,LastWorkLoc,CentDtl,CentParty,CentGovern,CentPeri,MiCentDtl,MiCentParty,MiCentGovern,MiCentPeri,MiProvDtl,MiProvPartyCore,MiProvPartyPeri1,MiProvPartyPeri2,MiProvGovernCore,MiProvGovernPeri,MiProvPeri,MiPrefDtl,MiPrefPartyCore,MiPrefPartyPeri1,MiPrefPartyPeri2,MiPrefGovernCore,MiPrefGovernPeri,MiPrefPeri,SOEDtl,SOECM,SOECNoM,SOEProv,SOEPref,Cent1stDtl,Center,TProv1stDtl,ThisProv,TPref1stDtl,Local,OPrefTProv1stDtl,OtherPrefThisProv,OProv1stDtl,OtherProv,edu_years,school_names,major_names
2002.0,210000,Liaoning,辽宁省,薄熙来,闻世震,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王大平,Wang Da Ping ,0,,,,,,0.0,,,中共抚顺市委副书记、市政府市长、党组书记,辽宁省抚顺市,市长,1955,8,47.0,9999,,辽宁省丹东市,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,0.0,,1.0,曾任省委副书记秘书,1.0,0.0,0.0,0.0,0.0,0.0,1985.1-1993.9 ，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，期间，曾任省委副书记秘书；,0.0,,0.0,1.0,1985年1月，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,辽宁省丹东市#辽宁省鞍山市海城市#闻世震,0.0,,0.0,,0.0,0.0,,0.0,1,1,1996年2月，任中共大石桥市委副书记、市长,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1985年1月，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，期间，曾任省委副书记秘书；,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1985年1月，调入中共辽宁省委组织部担任指导处干事,1.0,0,0.0,0,0.0,0,0.0,1978——1982,考入甘肃工业大学,流体机械专业
2003.0,210000,Liaoning,辽宁省,薄熙来,闻世震,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王大平,Wang Da Ping ,0,,,,,,0.0,,,辽宁省商业厅副厅长（正厅级）,辽宁省,省厅,1955,8,48.0,9999,,辽宁省丹东市,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,本科,3.0,1978年2月考入甘肃工业大学流体机械专业，1982年1月毕业,0.0,,1.0,曾任省委副书记秘书,1.0,0.0,0.0,0.0,0.0,0.0,1985.1-1993.9 ，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，期间，曾任省委副书记秘书；,0.0,,0.0,1.0,1985年1月，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,辽宁省丹东市#辽宁省鞍山市海城市#闻世震,0.0,,0.0,,0.0,0.0,,0.0,2,2,1996年2月，任中共大石桥市委副书记、市长,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1985年1月，调入中共辽宁省委组织部，先后担任指导处干事、主任干事、副处级调研员、处长，期间，曾任省委副书记秘书；,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1985年1月，调入中共辽宁省委组织部担任指导处干事,1.0,0,0.0,0,0.0,0,0.0,1978——1982,考入甘肃工业大学,流体机械专业
2004.0,210000,Liaoning,辽宁省,张文岳,闻世震,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,刘强,Liu Qiang ,0,,,,,,0.0,,,2005年03月——2008年02月，任抚顺市委副书记、市长；,辽宁省抚顺市,市长,1964,2,40.0,1986,18.0,辽宁省法库县,汉族,0.0,男,1.0,1.0,0.0,0.0,,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,硕士,4.0,1987年09月——1990年07月，在大连理工大学化学工程专业硕士研究生学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,辽宁省沈阳市法库县#辽宁省鞍山市海城市#闻世震,1.0,大连理工大学#闻世震,0.0,,0.0,0.0,,0.0,1,1,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"1990年07月——1994年05月，任抚顺乙烯化工厂乙烯车间操作员、值班长、技术员；
1994年05月——1994年12月，任抚顺乙烯化工厂乙烯车间值班主任；
1995年05月——1996年06月，任抚顺石化公司科技处副处长；
1996年06月——1997年01月，任抚顺石化公司石油三厂厂长助理；
1997年01月——1997年07月，任抚顺石化公司石油三厂副厂长；
1997年07月——1998年11月，任抚顺乙烯石化有限公司副经理；
1998年11月——1999年05月，任抚顺乙烯石化有限公司经理；
1999年12月——2001年11月，任中国石油抚顺石化公司副总经理、党委委员；
2001年11月——2002年03月，任中国石油抚顺石化公司总经理、党委书记；
2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记",1.0,0.0,0.0,0.0,0,0.0,0,0.0,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,1.0,0,0.0,0,0.0,1987——1990,大连理工大学,化学工程专业
2005.0,210000,Liaoning,辽宁省,张文岳,李克强,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,刘强,Liu Qiang ,0,,,,,,0.0,,,2005年03月——2008年02月，任抚顺市委副书记、市长；,辽宁省抚顺市,市长,1964,2,41.0,1986,19.0,辽宁省法库县,汉族,0.0,男,1.0,1.0,0.0,0.0,,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,硕士,4.0,1987年09月——1990年07月，在大连理工大学化学工程专业硕士研究生学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2,2,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"1990年07月——1994年05月，任抚顺乙烯化工厂乙烯车间操作员、值班长、技术员；
1994年05月——1994年12月，任抚顺乙烯化工厂乙烯车间值班主任；
1995年05月——1996年06月，任抚顺石化公司科技处副处长；
1996年06月——1997年01月，任抚顺石化公司石油三厂厂长助理；
1997年01月——1997年07月，任抚顺石化公司石油三厂副厂长；
1997年07月——1998年11月，任抚顺乙烯石化有限公司副经理；
1998年11月——1999年05月，任抚顺乙烯石化有限公司经理；
1999年12月——2001年11月，任中国石油抚顺石化公司副总经理、党委委员；
2001年11月——2002年03月，任中国石油抚顺石化公司总经理、党委书记；
2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记",1.0,0.0,0.0,0.0,0,0.0,0,0.0,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,1.0,0,0.0,0,0.0,1987——1990,大连理工大学,化学工程专业
2006.0,210000,Liaoning,辽宁省,张文岳,李克强,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,刘强,Liu Qiang ,0,,,,,,0.0,,,2005年03月——2008年02月，任抚顺市委副书记、市长；,辽宁省抚顺市,市长,1964,2,42.0,1986,20.0,辽宁省法库县,汉族,0.0,男,1.0,1.0,0.0,0.0,,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,硕士,4.0,1987年09月——1990年07月，在大连理工大学化学工程专业硕士研究生学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,3,3,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"1990年07月——1994年05月，任抚顺乙烯化工厂乙烯车间操作员、值班长、技术员；
1994年05月——1994年12月，任抚顺乙烯化工厂乙烯车间值班主任；
1995年05月——1996年06月，任抚顺石化公司科技处副处长；
1996年06月——1997年01月，任抚顺石化公司石油三厂厂长助理；
1997年01月——1997年07月，任抚顺石化公司石油三厂副厂长；
1997年07月——1998年11月，任抚顺乙烯石化有限公司副经理；
1998年11月——1999年05月，任抚顺乙烯石化有限公司经理；
1999年12月——2001年11月，任中国石油抚顺石化公司副总经理、党委委员；
2001年11月——2002年03月，任中国石油抚顺石化公司总经理、党委书记；
2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记",1.0,0.0,0.0,0.0,0,0.0,0,0.0,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,1.0,0,0.0,0,0.0,1987——1990,大连理工大学,化学工程专业
2007.0,210000,Liaoning,辽宁省,张文岳,李克强,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,刘强,Liu Qiang ,0,,,,,,1.0,0.0,1.0,2008年02月——2013年01月，任抚顺市委书记,辽宁省抚顺市,市委书记,1964,2,43.0,1986,21.0,辽宁省法库县,汉族,0.0,男,1.0,1.0,0.0,0.0,,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,博士,5.0,2000年03月——2003年04月，在东北大学管理科学与工程专业在职博士研究生学习,硕士,4.0,1987年09月——1990年07月，在大连理工大学化学工程专业硕士研究生学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,4,4,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"1990年07月——1994年05月，任抚顺乙烯化工厂乙烯车间操作员、值班长、技术员；
1994年05月——1994年12月，任抚顺乙烯化工厂乙烯车间值班主任；
1995年05月——1996年06月，任抚顺石化公司科技处副处长；
1996年06月——1997年01月，任抚顺石化公司石油三厂厂长助理；
1997年01月——1997年07月，任抚顺石化公司石油三厂副厂长；
1997年07月——1998年11月，任抚顺乙烯石化有限公司副经理；
1998年11月——1999年05月，任抚顺乙烯石化有限公司经理；
1999年12月——2001年11月，任中国石油抚顺石化公司副总经理、党委委员；
2001年11月——2002年03月，任中国石油抚顺石化公司总经理、党委书记；
2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记",1.0,0.0,0.0,0.0,0,0.0,0,0.0,2002年03月——2004年03月，任抚顺市委常委，中国石油抚顺石化公司总经理、党委书记,1.0,0,0.0,0,0.0,1987——1990,大连理工大学,化学工程专业
2008.0,210000,Liaoning,辽宁省,陈政高,张文岳,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王阳,Wang Yang ,0,,,,,,0.0,,,抚顺市委副书记、市长,辽宁省抚顺市,市长,1957,2,51.0,9999,,陕西省合阳县,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,本科,3.0,1979年09月-1983年08月，辽宁大学哲学专业学习,0.0,,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,0.0,1.0,0.0,0.0,1993. 11-1994. 5鞍山市政府办公厅副主任;2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,0.0,,0.0,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,1.0,2004年08月-2007年02月，辽宁省委副秘书长（正厅级）#2004年02月——2007年10月，中共辽宁省委副书记、省长；#张文岳,0.0,1.0,2004年08月-2007年02月，辽宁省委副秘书长（正厅级）#2004年02月——2007年10月，中共辽宁省委副书记、省长；#张文岳,0.0,1,1,"2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任
",2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0.0,0.0,0.0,0.0,0.0,"1984年01月-1985年10月，鞍山市委办公厅综合处干事;1985年10月-1986年12月，鞍山市委办公厅秘书;1986年12月-1988年03月，鞍山市委办公厅秘书（副处级）;
1999年03月-1999年09月，鞍山市委秘书长（1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习);1999年09月-2003年04月，鞍山市委常委、秘书长


",1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0,0.0,"1975年08月-1978年09月，辽宁省大洼县榆树农场知青
",1.0,0,0.0,1979——1983,辽宁大学,哲学专业
2009.0,210000,Liaoning,辽宁省,陈政高,张文岳,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王阳,Wang Yang ,0,,,,,,0.0,,,抚顺市委副书记、市长；鞍山市委副书记、代市长,辽宁省抚顺市,市长,1957,2,52.0,9999,,陕西省合阳县,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,本科,3.0,1979年09月-1983年08月，辽宁大学哲学专业学习,0.0,,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,0.0,1.0,0.0,0.0,1993. 11-1994. 5鞍山市政府办公厅副主任;2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,0.0,,0.0,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,1.0,2004年08月-2007年02月，辽宁省委副秘书长（正厅级）#2004年02月——2007年10月，中共辽宁省委副书记、省长；#张文岳,0.0,1.0,2004年08月-2007年02月，辽宁省委副秘书长（正厅级）#2004年02月——2007年10月，中共辽宁省委副书记、省长；#张文岳,0.0,2,2,"2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任
",2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0.0,0.0,0.0,0.0,0.0,"1984年01月-1985年10月，鞍山市委办公厅综合处干事;1985年10月-1986年12月，鞍山市委办公厅秘书;1986年12月-1988年03月，鞍山市委办公厅秘书（副处级）;
1999年03月-1999年09月，鞍山市委秘书长（1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习);1999年09月-2003年04月，鞍山市委常委、秘书长


",1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0,0.0,"1975年08月-1978年09月，辽宁省大洼县榆树农场知青
",1.0,0,0.0,1979——1983,辽宁大学,哲学专业
2010.0,210000,Liaoning,辽宁省,陈政高,王珉,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王阳,Wang Yang ,0,,,,,,0.0,,,鞍山市委副书记、市长,辽宁省鞍山市,市长,1957,2,53.0,9999,,陕西省合阳县,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,硕士,4.0,1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习,本科,3.0,1979年09月-1983年08月，辽宁大学哲学专业学习,0.0,,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,0.0,1.0,0.0,0.0,1993. 11-1994. 5鞍山市政府办公厅副主任;2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,0.0,,0.0,1.0,2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,3,3,"2007年02月-2008年02月，辽宁省委政策研究室主任、辽宁省委副秘书长（正厅级）兼省委政研室主任
",2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0.0,0.0,0.0,0.0,0.0,"1984年01月-1985年10月，鞍山市委办公厅综合处干事;1985年10月-1986年12月，鞍山市委办公厅秘书;1986年12月-1988年03月，鞍山市委办公厅秘书（副处级）;
1999年03月-1999年09月，鞍山市委秘书长（1996年09月-1999年06月，在辽宁大学国民经济管理专业在职研究生学习);1999年09月-2003年04月，鞍山市委常委、秘书长


",1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,"2004年08月-2007年02月，辽宁省委副秘书长（正厅级）
",1.0,0,0.0,"1975年08月-1978年09月，辽宁省大洼县榆树农场知青
",1.0,0,0.0,1979——1983,辽宁大学,哲学专业
2011.0,210000,Liaoning,辽宁省,陈政高,王珉,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王桂芬,Wang Gui Fen ,0,,,,,,0.0,,,2010.08—2013.02 辽宁省抚顺市委副书记、市长；,辽宁省抚顺市,市长,1965,6,46.0,1985,26.0,黑龙江省哈尔滨市,汉族,0.0,女,0.0,0.0,0.0,0.0,,硕士,4.0,研究生学历，硕士学位，工程师,硕士,4.0,研究生学历，硕士学位，工程师,,,missing,0.0,,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；,1.0,0.0,0.0,0.0,0.0,0.0,2008.03—2010.08 辽宁省政府副秘书长（正厅级）、办公厅党组成员,0.0,,0.0,1.0,2004.08—2008.03 辽宁省对外贸易经济合作厅副厅长、党组成员；,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；#陈政高#2008.01—2014.04，辽宁省委副书记、省长、省政府党组书记；,0.0,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；#陈政高#2008.01—2014.04，辽宁省委副书记、省长、省政府党组书记；,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1,1,2008.03—2010.08辽宁省政府副秘书长（正厅级）、办公厅党组成员；,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1988.07—1995.02辽宁省黄金管理局助理工程师、工程师、副处长；2008.03—2010.08辽宁省政府副秘书长（正厅级）、办公厅党组成员,0.0,0.0,0.0,1.0,0.0,0.0,1999.09—2001.09辽宁省本溪市政府党组成员、市长助理,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1988.07—1995.02辽宁省黄金管理局助理工程师、工程师、副处长,0.0,0,0.0,1995.02—1996.12辽宁省凤城市政府副市长,1.0,0,0.0,missing,missing,missing
2012.0,210000,Liaoning,辽宁省,陈政高,王珉,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,王桂芬,Wang Gui Fen ,0,,,,,,1.0,0.0,1.0,2013.02—2016.06 辽宁省抚顺市委书记；,辽宁省抚顺市,市委书记,1965,6,47.0,1985,27.0,黑龙江省哈尔滨市,汉族,0.0,女,0.0,0.0,0.0,0.0,,硕士,4.0,研究生学历，硕士学位,硕士,4.0,研究生学历，硕士学位,,,missing,0.0,,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；,1.0,0.0,0.0,0.0,0.0,0.0,2008.03—2010.08 辽宁省政府副秘书长（正厅级）、办公厅党组成员,0.0,,0.0,1.0,2004.08—2008.03 辽宁省对外贸易经济合作厅副厅长、党组成员；,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；#陈政高#2008.01—2014.04，辽宁省委副书记、省长、省政府党组书记；,0.0,1.0,2008.03—2010.08，辽宁省人民政府副秘书长（正厅级）、办公厅党组成员；#陈政高#2008.01—2014.04，辽宁省委副书记、省长、省政府党组书记；,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2,2,2008.03—2010.08辽宁省政府副秘书长（正厅级）、办公厅党组成员；,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1988.07—1995.02辽宁省黄金管理局助理工程师、工程师、副处长；2008.03—2010.08辽宁省政府副秘书长（正厅级）、办公厅党组成员,0.0,0.0,0.0,1.0,0.0,0.0,1999.09—2001.09辽宁省本溪市政府党组成员、市长助理,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1988.07—1995.02辽宁省黄金管理局助理工程师、工程师、副处长,0.0,0,0.0,1995.02—1996.12辽宁省凤城市政府副市长,1.0,0,0.0,missing,missing,missing
2013.0,210000,Liaoning,辽宁省,陈政高,王珉,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,栾庆伟,Luan Qing Wei ,0,,,,,,0.0,,,抚顺市委副书记，市长,辽宁省抚顺市,市长,1962,11,51.0,1986,27.0,黑龙江齐齐哈尔,汉族,0.0,男,1.0,1.0,0.0,0.0,,博士,5.0,研究生学历，博士学位,博士,5.0,研究生学历，博士学位,本科,3.0,1983年08月毕业于大连理工大学管理科学与工程；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1,1,2007年05月—2013年02月，大连高新技术产业园区党工委书记、管委会主任（副市级）,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2002年01月—2003年02月，大连市信息产业局副局长,1.0,0,0.0,1983,missing,missing
2014.0,210000,Liaoning,辽宁省,李希,王珉,抚顺市,210400,210400.0,210400,抚顺市,Fushun,0,栾庆伟,Luan Qing Wei ,0,,,,,,0.0,,,抚顺市委副书记，市长；15年9月，因严重违纪，接受组织调查,,,1962,11,52.0,1986,28.0,黑龙江齐齐哈尔,汉族,0.0,男,1.0,0.0,0.0,0.0,,博士,5.0,研究生学历，博士学位,博士,5.0,研究生学历，博士学位,本科,3.0,1983年08月毕业于大连理工大学管理科学与工程；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2,2,2007年05月—2013年02月，大连高新技术产业园区党工委书记、管委会主任（副市级）,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2002年01月—2003年02月，大连市信息产业局副局长,1.0,0,0.0,1983,missing,missing
